,Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
4860,,Chris Connelly,3074720/chris-connelly,,,,,,,,
4861,,Ian Connelly,3900325/ian-connelly,,,,,,,,
4862,,John Connelly,2500143/john-connelly,,Welterweight,,,,,,
4863,,Randy Connelly,2989182/randy-connelly,,,,,,,,
4864,Orthodox,Tristan Connelly,4585587/tristan-connelly,Canada,Welterweight,Checkmat Vancouver,1985-12-12,Boondock,68.0,146.0,70.0
4865,,Sam Connely,4084366/sam-connely,,,,,,,,
4866,,Seeta Connely,3082144/seeta-connely,,,,,,,,
4867,,Robert Conner,3032837/robert-conner,,,,,,,,
4868,,Travis Conner,4375623/travis-conner,,,,,,,,
4869,,Alexa Conners,4008386/alexa-conners,USA,Women's Flyweight,,1991-02-15,,,135.0,66.0
4870,,Andrew Connor,4291007/andrew-connor,England,Welterweight,,,,,,
4871,,Chris Connor,2969827/chris-connor,,,,,,,,
4872,,Mark Connor,3077631/mark-connor,,,,,,,,
4873,,Ryan Connor,4081565/ryan-connor,Canada,,,,,,,
4874,,Kim Connor-Hamby,2989133/kim-connor-hamby,,,,,,,,
4875,,Andrew Connors,3909537/andrew-connors,USA,,,1989-08-15,,,,
4876,,Bruce Connors,3039041/bruce-connors,,,,,,,,
4877,,Mike Connors,3043699/mike-connors,,,,,,,,
4878,Orthodox,Marcos Conrado Jr.,4379257/marcos-conrado-jr,Brazil,Heavyweight,,1982-03-14,,,220.0,74.0
4879,,Brian Constant,3154211/brian-constant,,,,,,,,
4880,,Curtis Constant,3077618/curtis-constant,,,,,,,,
4881,,Jake Constant,3153130/jake-constant,USA,Bantamweight,,1990-02-22,,,,
4882,Orthodox,Jeremiah Constant,2354018/jeremiah-constant,,,,1974-07-19,,,,
4883,,Leo Constant,3153103/leo-constant,,,,,,,,
4884,,Ben Constantine,3155868/ben-constantine,,,,,,,,
4885,,John Constantonus,3104272/john-constantonus,,,,,,,,
4886,,Ryan Contaldi,2611853/ryan-contaldi,,,,,,,,
4887,,David Conte,4685808/david-conte,,,,1985-07-08,,,145.0,71.0
4888,,Florent Conte,4684862/florent-conte,,,,,,,,
4889,,Claudio Conti,4396756/claudio-conti,Italy,Middleweight,SBG Ireland,1990-12-13,,,185.0,76.0
4890,,Gabriel Conti,4697121/gabriel-conti,Italy,Middleweight,,,El Dragon,,,
4891,,Manoel Henrique Conti,3895852/manoel-henrique-conti,Brazil,,,1984-01-09,,,,
4892,,Abner Contreras,2967271/abner-contreras,,,,,,,,
4893,,Alex Contreras,3936280/alex-contreras,,,,,,,,
4894,,Armando Contreras,4238136/armando-contreras,USA,,,,,,,
4895,,Diego Contreras,3158012/diego-contreras,,,,,,,,
4896,,Freddie Contreras,4205099/freddie-contreras,,,,,,,,
4897,,Louis Contreras,2553074/louis-contreras,,Bantamweight,,,,,,
4898,,Rodrigo Contreras,3073423/rodrigo-contreras,,,,,,,,
4899,,Jonathan Contrestano,3250466/jonathan-contrestano,USA,,,,,,,
4900,,Andrea Controversa,4076622/andrea-controversa,Italy,,,,,,,
4901,,Brad Conway,3950370/brad-conway,England,,,1981-10-04,,,,
4902,,Corey Conway,4816060/corey-conway,USA,,,1996-01-02,,,135.0,66.0
4903,,James Conway,4878668/james-conway,,,,,,,,
4904,,Aaron Cook,3154819/aaron-cook,USA,,,,,,,
4905,,Alex Cook,2499871/alex-cook,,Light Heavyweight,,,,,,
4906,Orthodox,Bob Cook,2558109/bob-cook,,Lightweight,AKA (American Kickboxing Academy),,,,,
4907,,Callum Cook,4077670/callum-cook,England,,,,,,,
4908,,Chad Cook,2509298/chad-cook,,Light Heavyweight,,,,,,
4909,,Coty Cook,4056319/coty-cook,,,,,,,,
4910,,Dai Cook,3088189/dai-cook,,,,,,,,
4911,,Dustin Cook,2590008/dustin-cook,,Middleweight,,,,,,
4912,,Jaime Cook,3024347/jaime-cook,,,,,,,,
4913,,Jason Cook,2569165/jason-cook,,Lightweight,,,,,,
4914,,Jeremie Cook,3111960/jeremie-cook,,,,,,,,
4915,,John Cook,4810819/john-cook,USA,Welterweight,,1969-07-19,,,,
4916,,Jon Cook,3571347/jon-cook,,,,,,,,
4917,,Justin Cook,4227049/justin-cook,,,,,,,,
4918,,Kevin Cook,2559852/kevin-cook,,Light Heavyweight,,,,,,
4919,,Len Cook,3077834/len-cook,,,,,,,,
4920,Orthodox,Mike Cook,2354105/mike-cook,,,,,,,,
4921,,Nate Cook,4238252/nate-cook,USA,,,,,,,
4922,,Paul Cook,3902207/paul-cook,,,,,,,,
4923,,Russell Cook,3002579/russell-cook,,,,,,,,
4924,,Tim Cook,2558093/tim-cook,,Featherweight,,,,,,
4925,,TJ Cook,2594614/tj-cook,USA,Light Heavyweight,John 3:16 & 17 Boxing Club ,1982-09-08,,,,
4926,,Tom Cook,3960655/tom-cook,,,,,,,,
4927,,Conor Cooke,3161795/conor-cooke,Northern Ireland,,,,,,,
4928,,Mike Cooke,2557455/mike-cooke,,Heavyweight,,,,,,
4929,,Sean Cooke,2555008/sean-cooke,,Heavyweight,,,,,,
4930,,Steve Cooke,4277824/steve-cooke,Malta,,,,,,,
4931,,Tevin Cooke,4303033/tevin-cooke,USA,,,1993-01-05,,,,
4932,,Brendan Cookman,3041432/brendan-cookman,,,,,,,,
4933,,Valerie Coolbaugh,2554299/valerie-coolbaugh,,,,,,,,
4934,,Jason Cooledge,3090608/jason-cooledge,England,Welterweight,,,The Animal,,,
4935,,Darin Cooley,3077628/darin-cooley,,,,1988-03-31,,,,
4936,,Miguel Cooley,3089342/miguel-cooley,,,,,,,,
4937,,Jason Coomes,3162824/jason-coomes,,Heavyweight,,,,,,
4938,,Chad Coon,3152208/chad-coon,USA,,,1980-10-22,,,,
4939,,Clifford Coon,3025360/clifford-coon,,,,,,,,
4940,Switch,Amanda Cooper,3923486/amanda-cooper,USA,Women's Strawweight,Scorpion Fighting System,1991-10-22,ABC,64.0,115.0,63.0
4941,,Andy Cooper,2517959/andy-cooper,,Welterweight,,,,,,
4942,,Bill Cooper,2594615/bill-cooper,,Lightweight,,,,,,
4943,,Bobby Cooper,3082394/bobby-cooper,USA,Welterweight,K2L Grindhouse,,,,170.0,73.0
4944,,Brent Cooper,3094705/brent-cooper,USA,,,,,,,
4945,Orthodox,Brett Cooper,2500663/brett-cooper,USA,Welterweight,Reign MMA,1987-07-02,Fudoshin,71.0,170.0,71.0
4946,,Charles Cooper,2965104/charles-cooper,,,,,,,,
4947,,Chris Cooper,3023958/chris-cooper,,,,,,,,
4948,,Danny Cooper,3112829/danny-cooper,,,,,,,,
4949,,Dewey Cooper,2951173/dewey-cooper,,Light Heavyweight,,,,,,
4950,,James Cooper,2558458/james-cooper,,,,,,,,
4951,,John Cooper,4049282/john-cooper,,,,,,,,
4952,,Myles Cooper,3672716/myles-cooper,,,,,,,,
4953,,Paul Cooper,2558535/paul-cooper,,,,,,,,
4954,,Ray Cooper,2501340/ray-cooper,,Lightweight,,,Bradda,,,
4955,,Ross Cooper,4214384/ross-cooper,,,,,,,,
4956,,Will Cooper,4566649/will-cooper,England,,,,,,,
4957,,Ray Cooper III,4339208/ray-cooper-iii,USA,Welterweight,Lion of Judah,1993-02-07,Bradda,70.0,172.0,67.0
4958,Orthodox,Chris Cope,2504262/chris-cope,USA,Welterweight,,1983-03-05,C-Murder,72.0,,
4959,Orthodox,Kit Cope,2354129/kit-cope,,,,1977-03-17,,,,
4960,,Gary Copeland,2594382/gary-copeland,,,,,,,,
4961,Orthodox,Josh Copeland,3114203/josh-copeland,USA,Heavyweight,Grudge Training Center,1982-10-20,Cuddly Bear,75.0,260.0,73.0
4962,,Adam Copenhaver,2498777/adam-copenhaver,,Lightweight,,,,,,
4963,,Doug Copher,2969829/doug-copher,,Lightweight,,,,,,
4964,,Chris Coplan,3077980/chris-coplan,,,,,,,,
4965,,Dan Copp,3037272/dan-copp,,,,,,,,
4966,,Omur Cor,3017961/omur-cor,,Welterweight,,,,,,
4967,Southpaw,Michael Cora,4237605/michael-cora,USA,Welterweight,,1989-08-24,,77.0,,
4968,,Lewis Corapi,4013046/lewis-corapi,USA,Lightweight,,,,,155.0,69.0
4969,Orthodox,Akira Corassani,2615078/akira-corassani,Sweden,Featherweight,Renzo Gracie Jiu-Jitsu,1982-08-27,,68.0,,
4970,Orthodox,Muhsin Corbbrey,2431341/muhsin-corbbrey,USA,,,,,,155.0,70.0
4971,,James Corbett,4038673/james-corbett,,,,,,,,
4972,,Louie Corbett,3158678/louie-corbett,,,,,,,,
4973,,Vincent Corbin,3954837/vincent-corbin,,,,,,,,
4974,,Alessandro Cordeiro,2957842/alessandro-cordeiro,,Catchweight,,,,,,
4975,,Alexandre Cordeiro,4245618/alexandre-cordeiro,Brazil,,,,,,,
4976,,Gerson Cordeiro,3081328/gerson-cordeiro,Brazil,,,1981-02-22,,,,
4977,,Carlos Cordero,2553289/carlos-cordero,,Lightweight,,,,,,
4978,,Jack Cordero,4303041/jack-cordero,,,,,,,,
4979,,Jason Cordero,4070790/jason-cordero,,,,,,,,
4980,,Kevin Cordero Lopez,4763958/kevin-cordero-lopez,,,,,,,,
4981,,Jaime Cordoba,4421509/jaime-cordoba,Peru,,,1989-03-30,,,,
4982,,Jorge Cordoba,4238254/jorge-cordoba,USA,,,,,,,
4983,,Reina Cordoba,4295401/reina-cordoba,,,,,,,,
4984,,Yahir Cordoba,4611961/yahir-cordoba,,,,,,,,
4985,,Carlos Cordova,4705657/carlos-cordova,,,,,,,,
4986,,Joshua Cordova,4808707/joshua-cordova,Venezuela,Light Heavyweight,,,Josue,,,
4987,,Glen Cordoza,2503582/glen-cordoza,,Lightweight,,,,,,
4988,,Rich Coreen,2964414/rich-coreen,,,,,,,,
4989,,Mike Corey,2555196/mike-corey,USA,Featherweight,Team Curran,1984-03-08,,,,
4990,,Martin Coria,2976329/martin-coria,,Flyweight,,,,,,
4991,,Bryan Corley,2499011/bryan-corley,,,,,,,,
4992,,Randy Corley,2594036/randy-corley,,,,,,,,
4993,,Dan Cormier,3906240/dan-cormier,USA,,,,,,,
4994,Orthodox,Daniel Cormier,2509290/daniel-cormier,USA,Heavyweight,AKA (American Kickboxing Academy),1979-03-20,DC,72.5,236.0,71.0
4995,,Vincent Cormier,3153254/vincent-cormier,,,,,,,,
4996,,Richard Corminal,4236548/richard-corminal,Philippines,Welterweight,,,Notorious,,170.0,68.0
4997,,Jose Cornejo,3895061/jose-cornejo,,,,,,,,
4998,,Marcos Cornejo,3954836/marcos-cornejo,,,,,,,,
4999,,Joseph Corneroli,3104268/joseph-corneroli,,,,,,,,
5000,,Hobert Cornett,2967267/hobert-cornett,,,,,,,,
5001,,John Cornett,3089948/john-cornett,,,,,,,,
5002,,Scott Cornwell,2497242/scott-cornwell,,Lightweight,,,,,,
5003,,Fernando Corona,4422109/fernando-corona,,,,,,,,
5004,,Joe Corona,2555680/joe-corona,,Bantamweight,,,,,,
5005,,Alex Coronado,3027598/alex-coronado,,,,,,,,
5006,,Clint Coronel,2555386/clint-coronel,,Lightweight,,,,,,
5007,,Mauro Coronel,3954839/mauro-coronel,,,,,,,,
5008,,Robert Corpora,2990869/robert-corpora,,Welterweight,,,,,,
5009,,Christopher Corporon,4081562/christopher-corporon,Canada,,,,,,,
5010,,Dan Corpstein,2559623/dan-corpstein,,Middleweight,,,,,,
5011,,Alejo Corpuz,4251382/alejo-corpuz,,,,,,,,
5012,,Bobby Corpuz,2996654/bobby-corpuz,,Bantamweight,,,,,,
5013,,Tim Corrado,4348180/tim-corrado,,,,,,,,
5014,,Alex Corrales,3970979/alex-corrales,USA,,,,,,,
5015,,Henry Corrales,3892809/henry-corrales,USA,Featherweight,Fight Ready,1986-08-11,,70.0,145.0,69.0
5016,,Ricardo Corrales,3118934/ricardo-corrales,,,,,,,,
5017,,Edileusa Correa,3143768/edileusa-correa,,,,,,,,
5018,,Erick Correa,4215349/erick-correa,,,,,,,,
5019,,Eugene Correa,4355932/eugene-correa,,,,,,,,
5020,,Fabio Pereira Correa,3028858/fabio-pereira-correa,,,,,,,,
5021,,Glauco Correa,3028847/glauco-correa,,,,,,,,
5022,,Kani Correa,4340941/kani-correa,,,,,,,,
5023,,Leonardo Argemiro Vasconcelos Correa,4869291/leonardo-argemiro-vasconcelos-correa,Brazil,,,1990-11-21,,,,
5024,,Luciano Correa,3030257/luciano-correa,,,,,,,,
5025,,Manuel Correa,4897179/manuel-correa,USA,,,1981-08-21,,,,
5026,,Romulo Correa,4896552/romulo-correa,Brazil,,,,,,,
5027,,Vander Correa,3104880/vander-correa,Brazil,,,,,,,
5028,,Alenice Correa Costa,4233552/alenice-correa-costa,,,,,,,,
5029,,Alberto Correia,4781787/alberto-correia,Brazil,,,1997-03-23,,,115.0,62.0
5030,Orthodox,Bethe Correia,3081041/bethe-correia,Brazil,Women's Bantamweight,Pitbull Brothers,1983-06-22,Pitbull,64.0,138.0,65.0
5031,,Carlos Correia,4062285/carlos-correia,USA,Welterweight,,,,,,
5032,,Caroline Correia,4583362/caroline-correia,Brazil,,,1989-01-29,,,,
5033,,Erico Correia,3081325/erico-correia,,,,,,,,
5034,,Lilian Correia,3037539/lilian-correia,,,,,,,,
5035,,Lohanna Correia,4257421/lohanna-correia,Brazil,,,,,,,
5036,,Luiz Correia,4299761/luiz-correia,,,,,,,,
5037,,Rafael Correia,4426076/rafael-correia,Brazil,,,,,,,
5038,,Chris Correira,3074144/chris-correira,,,,,,,,
5039,Orthodox,Wesley Correira,2502148/wesley-correira,USA,,,1978-11-11,,,,
5040,,Robson Correira da Silva,4391356/robson-correira-da-silva,,,,,,,,
5041,,Adam Corrigan,4340657/adam-corrigan,USA,,,,,,,
5042,,Kevin Corrigan,3946689/kevin-corrigan,,,,,,,,
5043,,Patrick Corrigan,4806442/patrick-corrigan,,Bantamweight,,1993-05-13,,,,
5044,,Jake Corry,2558524/jake-corry,,Lightweight,,,,,,
5045,,Bjorn Corsis,4344704/bjorn-corsis,,,,,,,,
5046,,Emily Corso,3954851/emily-corso,,,,,,,,
5047,,John Corstorphine,2559896/john-corstorphine,,,,,,,,
5048,,Jose Andres Cortes,4038119/jose-andres-cortes,,,,,,,,
5049,,Mikel Cortes,3024968/mikel-cortes,,,,,,,,
5050,,Waldo Cortes-Acosta,4903365/waldo-cortes-acosta,USA,Heavyweight,Arizona Combat Sports,1991-10-03,,78.0,256.0,76.0
5051,,Enrico Cortese,4584162/enrico-cortese,Italy,,,1997-12-14,,,,
5052,,Chris Cortez,4836251/chris-cortez,USA,,,,,,,
5053,,George Cortez,3163888/george-cortez,,,,,,,,
5054,,Gian Franco Cortez,4863839/gian-franco-cortez,Peru,,,,,,,
5055,,Jason Cortez,4699455/jason-cortez,,,,,,,,
5056,,Jorge Cortez,3032268/jorge-cortez,,,,,,,,
5057,,Jose Cortez,3656973/jose-cortez,,,,,,,,
5058,,Lionel Cortez,2590010/lionel-cortez,,Middleweight,,,,,,
5059,,Luis Cortez,3983544/luis-cortez,,,,,,,,
5060,Orthodox,Reyes Cortez,4892422/reyes-cortez,USA,Bantamweight,MMA LAB,1992-07-31,Junior,68.0,135.0,67.0
5061,,Sergio Cortez,3074819/sergio-cortez,USA,Lightweight,Central Valley Combat Academy,,,,155.0,67.0
5062,Orthodox,Tracy Cortez,4243624/tracy-cortez,USA,Women's Flyweight,Fight Ready,1993-12-10,,65.5,127.0,65.0
5063,,Ulysses Cortez,2431269/ulysses-cortez,,Light Heavyweight,,,,,,
5064,,John Cris Corton,4346487/john-cris-corton,,,,,,,,
5065,,Rafael Coruja,3896594/rafael-coruja,Brazil,,,,,,,
5066,,Keith Corum,4010966/keith-corum,,,,,,,,
5067,,Ricardo Corumba,2989863/ricardo-corumba,,Lightweight,,,,,,
5068,,Reginaldo Corvao,4330151/reginaldo-corvao,Brazil,,,,,,,
5069,,Chad Corvin,2951174/chad-corvin,,,,,The Brave Warrior,,,
5070,,Michael Corvino,3166219/michael-corvino,,,,,,,,
5071,Orthodox,Louis Cosce,4685887/louis-cosce,USA,Welterweight,Lost Boys Jiu Jitsu and Muay Thai,1995-08-27,,71.0,170.0,69.0
5072,Switch,Orion Cosce,4687126/orion-cosce,USA,Welterweight,Lost Boys Jiu Jitsu and Muay Thai,1994-07-15,Galaxy,71.0,170.0,71.0
5073,,Fernando Cosenday,3113307/fernando-cosenday,Brazil,,,,,,,
5074,,Elvir Cosic,4079313/elvir-cosic,Bosnia & Herzegovina,,,,,,,
5075,,Miguel Cosio,2546690/miguel-cosio,,,,,,,,
5076,,Alejandro Ezequiel Coslovsky,4400241/alejandro-ezequiel-coslovsky,Argentina,,,1985-05-16,,,,
5077,,Sergio Cossio,4336000/sergio-cossio,Mexico,,,,,,155.0,69.0
5078,,Sergio Daniel Cossio Dominguez,3952412/sergio-daniel-cossio-dominguez,,,,,,,,
5079,,Uriel Cossio Dominguez,4687034/uriel-cossio-dominguez,Mexico,Bantamweight,,,,,,
5080,,Alenice Correa Costa,3143762/alenice-correa-costa,,,,,,,,
5081,,Cicero Costa,2500528/cicero-costa,,Heavyweight,,,,,,
5082,,Cleudilene Costa,4277163/cleudilene-costa,,,,,,,,
5083,,Darren Costa,3056387/darren-costa,USA,Middleweight,,1992-07-16,,,,
5084,,Fabio Costa,3138888/fabio-costa,,,,,,,,
5085,,Frankledson Costa,4032845/frankledson-costa,Brazil,,,1989-10-30,,,,
5086,Orthodox,Jadson Costa,2500428/jadson-costa,,Lightweight,,,,,,
5087,,Jadyson Costa,2557809/jadyson-costa,,,,,,,,
5088,,Juliana Costa,4394204/juliana-costa,,,,,,,,
5089,,Kakau Costa,4881849/kakau-costa,Brazil,,,,,,,
5090,,Kevin Costa,4867911/kevin-costa,,,,,,,,
5091,,Leandro Costa,3254952/leandro-costa,,,,,,,,
5092,,Marcelo Costa,3087614/marcelo-costa,,,,,,,,
5093,,Maykon Costa,2557780/maykon-costa,,Lightweight,,,,,,
5094,,Melvin Costa,3043705/melvin-costa,,,,,,,,
5095,,Michael Costa,2596296/michael-costa,,Welterweight,,,,,,
5096,,Michael William Costa,2560748/michael-william-costa,,Flyweight,,,,,,
5097,,Ozeias Costa,3077607/ozeias-costa,,,,,,,,
5098,Orthodox,Paulo Costa,4080826/paulo-costa,Brazil,Middleweight,Pitbull Brothers,1991-04-21,The Eraser,72.0,205.0,73.0
5099,,Rafael Costa,4689367/rafael-costa,Brazil,,,1997-04-13,,,135.0,66.0
5100,Switch,Randy Costa,3250441/randy-costa,USA,Bantamweight,Sanford MMA,1994-07-06,The Zohan,73.0,134.0,69.0
5101,,Renesom Costa,2565284/renesom-costa,,,,,,,,
5102,,Rob Costa,3975717/rob-costa,,,,,,,,
5103,,Rosinaldo Costa,3674624/rosinaldo-costa,Brazil,,,,,,,
5104,,Taigro Costa,4297312/taigro-costa,Brazil,Featherweight,,1989-03-19,Urso Branco,,145.0,67.0
5105,,Thiago Costa,3939916/thiago-costa,,,,,,,,
5106,,Ty Costa,3954847/ty-costa,USA,,,1988-05-18,,,135.0,69.0
5107,,Melquizael Costa da Conceicao,4425763/melquizael-costa-da-conceicao,Brazil,,,1996-09-14,,,,
5108,,Eder Costa da Gama,4411894/eder-costa-da-gama,Brazil,Bantamweight,,1985-09-02,,,,
5109,,Laerte Costa e Silva,3254949/laerte-costa-e-silva,Brazil,,,,,,,
5110,,Adilson Costa Ferreira,4565901/adilson-costa-ferreira,Brazil,,,,,,,
5111,,Ana Costa Monteiro,4420426/ana-costa-monteiro,,,,,,,,
5112,,Marcos Vinicius Costa Silva,3900953/marcos-vinicius-costa-silva,,,,,,,,
5113,,Laerte Costa Silva de Oliveira,2559805/laerte-costa-silva-de-oliveira,,Light Heavyweight,,,,,,
5114,,Jaime Costales,4191794/jaime-costales,Ecuador,,,,,,,
5115,,Joilson Costelinha,3077602/joilson-costelinha,,,,,,,,
5116,,Daniel Costell,3158294/daniel-costell,,,,,,,,
5117,,Andy Costello,2559174/andy-costello,,,,,,,,
5118,,Brian Costello,2959837/brian-costello,,,,,,,,
5119,,Chris Costello,3165112/chris-costello,USA,,,,,,,
5120,,Kyle Costello,4422384/kyle-costello,,,,,,,,
5121,,Stephen Costello,4443379/stephen-costello,Ireland,Welterweight,SBG Ireland,,,72.0,170.0,73.0
5122,,Thomas Costes,3041979/thomas-costes,France,Welterweight,,1983-02-09,,,,
5123,,Daniel Costic,4214382/daniel-costic,,,,,,,,
5124,,Catherine Costigan,3902228/catherine-costigan,Ireland,Women's Atomweight,Pankration Kickboxing Academy,,,,,
5125,Orthodox,Oscar Cota,3162581/oscar-cota,Mexico,Heavyweight,Kimura Training Center,1984-10-15,Elevation,72.0,263.0,74.0
5126,,Marc-Andre Cote,2594361/marc-andre-cote,,,,,,,,
5127,Orthodox,Patrick Cote,2335448/patrick-cote,Canada,Welterweight,,1980-02-29,The Predator,75.0,,
5128,,Will Coto,2969832/will-coto,,Lightweight,,,,,,
5129,,Mihail Cotruta,4243483/mihail-cotruta,,,,,,,,
5130,,Jody Cottham,2558409/jody-cottham,,Featherweight,,,,,,
5131,,Bill Cotton,4349236/bill-cotton,,,,,,,,
5132,,Jozette Cotton,4368694/jozette-cotton,USA,Women's Lightweight,Premier Combat Center,1988-03-17,The #1 Headbusta,,150.0,69.0
5133,,Romero Cotton,3075118/romero-cotton,USA,Middleweight,,,,,185.0,70.0
5134,,Nick Cottone,2527796/nick-cottone,,Flyweight,,,,,,
5135,,Brad Cottrell,2554874/brad-cottrell,,Featherweight,,,,,,
5136,,James Cottrell,2553087/james-cottrell,,Bantamweight,,,,,,
5137,Orthodox,JC Cottrell,2514776/jc-cottrell,USA,Lightweight,,1989-11-04,,71.0,,
5138,,Stacy Coughlin,2557550/stacy-coughlin,,Lightweight,,,,,,
5139,Orthodox,Marty Coughran,4354427/marty-coughran,USA,Featherweight,,1994-05-17,,,145.0,68.0
5140,,Nick Coughran,3722433/nick-coughran,USA,Middleweight,,1984-12-12,,,,
5141,,Robert Couillard,3890632/robert-couillard,USA,,,,,,,
5142,,Moussa Coulibaly,3132501/moussa-coulibaly,,,,,,,,
5143,,Samba Coulibaly,4206375/samba-coulibaly,France,Welterweight,,1987-06-05,,,,
5144,,Tim Coulson,2555746/tim-coulson,,Middleweight,,,,,,
5145,,Ken Coulter,4022260/ken-coulter,USA,Lightweight,,1987-07-05,The Sunnyside Kid,,155.0,72.0
5146,Orthodox,Rashad Coulter,3509230/rashad-coulter,USA,Heavyweight,Fortis MMA,1981-11-27,Daywalker,76.0,205.0,72.0
5147,,Dave Courchaine,2951175/dave-courchaine,USA,Lightweight,,1983-02-08,Insane,,,
5148,,Will Courchaine,3001282/will-courchaine,,,,,,,,
5149,,Nathan Court,3100918/nathan-court,,,,,,,,
5150,,Maxime Cousin,4869981/maxime-cousin,,,,,,,,
5151,,JC Cousins,3087443/jc-cousins,,,,,,,,
5152,,Peter Cousins,2557449/peter-cousins,,Heavyweight,,,,,,
5153,,Cicero Coutinho,4401378/cicero-coutinho,Brazil,,,1985-11-25,,,,
5154,,Claudio Coutinho,4713662/claudio-coutinho,Brazil,,,,,,,
5155,,Juliano Coutinho,3163893/juliano-coutinho,Brazil,Heavyweight,Team Sityodtong,1978-07-30,,,,
5156,,John Lineker Coutinho da Silva,4073940/john-lineker-coutinho-da-silva,,,,,,,,
5157,,April Coutino,3115960/april-coutino,,,,,,,,
5158,,George Coutney,4882225/george-coutney,Northern Ireland,Lightweight,,,,,,
5159,,William Couto,2965185/william-couto,,,,,,,,
5160,,Antoine Coutu,2556382/antoine-coutu,,Featherweight,,,,,,
5161,Orthodox,Kim Couture,2951126/kim-couture,USA,,,1975-12-18,Sugar Free,,,
5162,Orthodox,Randy Couture,2335338/randy-couture,USA,Light Heavyweight,Xtreme Couture,1963-06-22,The Natural,75.0,,
5163,Orthodox,Ryan Couture,2527758/ryan-couture,USA,Lightweight,Xtreme Couture,1982-08-27,,73.0,155.0,70.0
5164,,Matt Covan,3037264/matt-covan,,,,,,,,
5165,,Tomas Covarrubias,3119511/tomas-covarrubias,,Bantamweight,,,,,,
5166,,Dave Covello,2431274/dave-covello,,Light Heavyweight,,,,,,
5167,,Ryland Coventry,4275028/ryland-coventry,,,,,,,,
5168,,Nikk Covert,2951176/nikk-covert,,Middleweight,,,The Brick,,,
5169,,Lee Coville,4339214/lee-coville,England,Featherweight,,,,,,
5170,Orthodox,Colby Covington,3088810/colby-covington,USA,Welterweight,MMA Masters,1988-02-22,Chaos,72.0,169.0,71.0
5171,,Steven Covington,4684137/steven-covington,USA,Middleweight,,1989-09-15,The Goddamn Spiderbat,,185.0,73.0
5172,,Danny Covyn,4240979/danny-covyn,Belgium,,,,,,,
5173,,Nicky Covyn,3158458/nicky-covyn,,,,,,,,
5174,,Hailey Cowan,4374742/hailey-cowan,USA,Women's Bantamweight,,1992-02-12,All Hail,71.0,135.0,69.0
5175,,Tanner Cowan,3092520/tanner-cowan,USA,Lightweight,,1982-06-18,,,,
5176,,Byron Cowell,4587826/byron-cowell,New Zealand,,,,,,,
5177,,Spencer Cowley,2354188/spencer-cowley,,Welterweight,,,,,,
5178,,Chad Cox,3089933/chad-cox,,,,,,,,
5179,,Dean Cox,3895030/dean-cox,,,,,,,,
5180,,Ethan Cox,3093006/ethan-cox,,,,,,,,
5181,,Garrett Cox,3166122/garrett-cox,,,,,,,,
5182,,Ian Cox,2967081/ian-cox,,,,,,,,
5183,Orthodox,Jeff Cox,2354575/jeff-cox,,Lightweight,,1969-12-31,,,,
5184,,Kevin Cox,4425997/kevin-cox,,,,,,,,
5185,,Matt Cox,3900354/matt-cox,USA,Welterweight,,,,,,
5186,,Nic Cox,3089420/nic-cox,USA,Featherweight,,,,,,
5187,,Ray Cox,2557038/ray-cox,,,,,,,,
5188,,Shaena Cox,4080407/shaena-cox,,,,,,,,
5189,,Travis Cox,3031798/travis-cox,,,,,,,,
5190,,Eric Coxbill,4359113/eric-coxbill,,,,,,,,
5191,Southpaw,Nathan Coy,2501989/nathan-coy,USA,Welterweight,American Top Team,1978-07-24,Soulforce,69.5,,
5192,,Travis Coyle,2595897/travis-coyle,,Catchweight,,,,,,
5193,,Luka Coz,4697572/luka-coz,Slovenia,,,,,,,
5194,,Allen Cozze,3102263/allen-cozze,,Lightweight,,,,,,
5195,,Mike Craddock,3950307/mike-craddock,,,,,,,,
5196,,Peter Craete,4023580/peter-craete,England,,,,,,,
5197,,Jeremiah Craft,4328231/jeremiah-craft,,,,,,,,
5198,,Neal Craft,3147316/neal-craft,,,,,,,,
5199,,Ben Craggy,4077699/ben-craggy,England,,,,,,,
5200,Orthodox,Andrew Craig,2616900/andrew-craig,USA,Middleweight,Team Tooke,1986-01-15,Highlight,76.0,,
5201,,Mark Craig,3954874/mark-craig,,,,,,,,
5202,,Michael Craig,3082869/michael-craig,,,,,,,,
5203,,Nate Craig,3096565/nate-craig,,,,,,,,
5204,Orthodox,Paul Craig,3946951/paul-craig,Scotland,Light Heavyweight,Scottish Hit Squad,1987-11-27,BearJew,76.0,205.0,75.0
5205,,Travis Crain,4601328/travis-crain,,,,,,,135.0,65.0
5206,Orthodox,Dan Cramer,2335788/dan-cramer,USA,Middleweight,American Top Team,1985-10-31,,,,
5207,,Khris Cramer,2500174/khris-cramer,,Bantamweight,,,,,,
5208,,Nick Crammer,3028655/nick-crammer,,,,,,,,
5209,Orthodox,Alberto Crane,2354194/alberto-crane,,,,1976-07-14,,,,
5210,,Derek Cranford,3039012/derek-cranford,,,,,,,,
5211,,Richie Cranny,2559172/richie-cranny,,Heavyweight,,,,,,
5212,,Bryant Craven,3103149/bryant-craven,,,,,,,,
5213,,Cameron Crawford,4357611/cameron-crawford,,,,,,,,
