Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
Orthodox,Joanderson Brito,4422355/joanderson-brito,Brazil,Featherweight,Chute Boxe,1995-02-11,Tubarao,72.0,145.0,68.0
,Jorge Brito,2501242/jorge-brito,,Lightweight,,,,,,
,Luis Brito,3031742/luis-brito,Brazil,,,1974-11-25,,,,
Orthodox,Marcelo Brito,2501485/marcelo-brito,Brazil,Middleweight,,1977-11-27,,,,
,Wellington Brito,3028511/wellington-brito,,,,,,,,
,Odam Brito da Silva,4282880/odam-brito-da-silva,Brazil,,,,,,,
,Walber Brito de Barros,3116264/walber-brito-de-barros,Brazil,Catch Weight,Nova Uniao ,,Tete,,,
,Gina Brito Silva Santana,4070800/gina-brito-silva-santana,Brazil,,,1982-11-28,,,,
,Antwain Britt,2500729/antwain-britt,USA,Middleweight,Hybrid Academy of Martial Arts,1987-05-09,The Juggernaut,77.0,,
,Aristides Britto,2502037/aristides-britto,,Welterweight,,,,,,
,Jorge Britto,2558399/jorge-britto,,,,,,,,
,Terry Britton,4685729/terry-britton,,,,1982-04-07,,,145.0,76.0
,Tommie Britton,4081780/tommie-britton,,,,,,,,
,Hector Britts,4331797/hector-britts,South Africa,,,,,,,
,Barry Britz,3166134/barry-britz,,,,,,,,
,Josip Brkic,3988874/josip-brkic,Croatia,,,,,,,
,Jonah Broad,3154732/jonah-broad,,,,,,,,
,Todd Broadaway,2558119/todd-broadaway,,,,,,,,
,Devon Brock,4290361/devon-brock,USA,Catchweight,,,,,160.0,68.0
,Devon Brock,4290377/devon-brock,USA,,,,,,,
,Jesse Brock,2486964/jesse-brock,USA,,Combat Fitness,,,,,
,John Brock,3038384/john-brock,,,,,,,,
,Justin Brock,3254942/justin-brock,,,,,,,,
,Jonny Brocklesby,4744335/jonny-brocklesby,,,,,,,,
,Gabe Brockmier,3146905/gabe-brockmier,,,,,,,,
,Sean Brockmole,2594128/sean-brockmole,,,,,,,,
,Dirlei Broenstrup,2996753/dirlei-broenstrup,,,,,,,,
,Marco Broersen,2952999/marco-broersen,,,,,,,,
,Ian Brofsky,4573912/ian-brofsky,USA,,,1992-07-30,,,,
,David Brogan,4420370/david-brogan,,,,,,,,
,Drew Brokenshire,2951154/drew-brokenshire,USA,,,1986-06-27,The Eternal Fire,,145.0,69.0
,Scott Brommage,2560732/scott-brommage,,,,,,,,
,Tomasz Bronder,4280464/tomasz-bronder,,,,,,,,
,Mike Bronzoulis,2553870/mike-bronzoulis,USA,Welterweight,Paradigm/Main Street Boxing Gym,1979-01-05,The Greek,,155.0,72.0
,Donald Brook,2537059/donald-brook,,Lightweight,,,,,,
Southpaw,Jonathan Brookins,2494735/jonathan-brookins,USA,,Gracie Barra Orlando,1985-08-13,,74.0,,
,Brian Brooks,3960433/brian-brooks,,,,,,,,
,Carlos Brooks,2617233/carlos-brooks,,Middleweight,,,,,,
,Christopher Brooks,3149687/christopher-brooks,,,,,,,,
,E.J. Brooks,3111192/ej-brooks,USA,Welterweight,St. Charles MMA,1985-11-27,,,170.0,68.0
Switch,Jarred Brooks,4036094/jarred-brooks,USA,Flyweight,Mash Fight Team,1993-05-02,The Monkey God,62.0,125.0,63.0
,Joseph Brooks,3120460/joseph-brooks,,,,,,,,
,Kevin Brooks,3087469/kevin-brooks,USA,Heavyweight,,1977-08-10,,,,
,Pete Brooks,3161706/pete-brooks,,,,,,,,
,Rashad Brooks,3047423/rashad-brooks,,,,,,,,
,Taylor Brooks,3041303/taylor-brooks,,,,,,,,
,Tyler Brooks,3041301/tyler-brooks,,,,,,,,
Orthodox,Will Brooks,3017946/will-brooks,USA,Lightweight,American Top Team,1986-10-08,,72.0,155.0,71.0
,Jason Broom,3026154/jason-broom,,Middleweight,,,,,,
,Quinn Broomfield,3077948/quinn-broomfield,,,,,,,,
,Andy Brossett,4423430/andy-brossett,USA,Lightweight,,,,,155.0,68.0
,Mick Broster,3127946/mick-broster,,,,,,,,
,Rob Broughton,2509241/rob-broughton,England,Heavyweight,Wolfslair Academy,1983-03-03,The Bear,74.0,,
,Lee Brousseau,2504990/lee-brousseau,,Catch Weight,,,,,,
,Maciej Browarski,3043694/maciej-browarski,,,,,,,,
,Zach Browder,4064685/zach-browder,USA,,,,,,,
,Rhomez Brower,2556966/rhomez-brower,,Middleweight,,,,,,
,Aaron Brown,3988949/aaron-brown,,,,,,,,
,Amber Brown,3111759/amber-brown,USA,Women's Strawweight,Fit NHB,1988-12-14,,,105.0,64.0
,Bobby Brown,3906610/bobby-brown,,,,,,,,
,Brody Brown,4010974/brody-brown,,,,,,,,
,Cameron Brown,2556579/cameron-brown,,Middleweight,,,,,,
,Chad Brown,4023577/chad-brown,England,,,,,,,
,Chance Brown,4240525/chance-brown,USA,,,,,,,
,Charles Brown,3960441/charles-brown,USA,,,,Dingo,,,
,Charlie Brown,2500526/charlie-brown,USA,,,,,,170.0,73.0
,Chris Brown,2527881/chris-brown,,Welterweight,,,,,,
,Chris Brown,2613371/chris-brown,USA,,,1989-04-16,,,170.0,71.0
,Chris Brown,4700424/chris-brown,USA,,,,,,,
,Clarence Brown,4684320/clarence-brown,USA,,,1993-02-17,Prodigy,,158.0,68.0
,Craig Brown,3087278/craig-brown,Canada,,,,Farmer,,,
Orthodox,Damien Brown,3104468/damien-brown,Australia,Lightweight,Integrated MMA,1984-12-25,Beatdown,68.5,155.0,70.0
,DeMarcus Brown,4339403/demarcus-brown,,,,,,,,
,Derrick Brown,3960090/derrick-brown,USA,Heavyweight,,1989-09-25,,,,
,Derrick Brown,4687101/derrick-brown,USA,Lightweight,,,The Sheriff,,,
,Deven Brown,4684026/deven-brown,,,,,,,145.0,68.0
,Dominic Brown,2951155/dominic-brown,USA,,,1982-06-04,,,,
,Doug Brown,2994894/doug-brown,USA,,,,,,,
,Douglas Brown,2354361/douglas-brown,,Lightweight,,,,,,
,Earl Brown,3041429/earl-brown,,,,,,,,
,Eddie Brown,4683444/eddie-brown,USA,Featherweight,,1991-03-16,Downtown,,145.0,69.0
,Eric Brown,3948722/eric-brown,USA,,,,,,,
,Errol Brown,3154196/errol-brown,England,,,,,,,
,Frederick Brown,3154249/frederick-brown,,,,,,,,
,Glenn Brown,3923495/glenn-brown,,,,,,,,
,Humberto Brown,3093545/humberto-brown,Panama,Featherweight,,1984-11-03,,71.0,,
,Jake Brown,2565155/jake-brown,,Lightweight,,,,,,
,James Brown,4697935/james-brown,USA,,,1993-09-09,,,,
,Jason Brown,4576987/jason-brown,USA,,,1978-07-06,,,,
,Jeremy Brown,2503545/jeremy-brown,,,,,,,,
,Joey Brown,2558363/joey-brown,,Lightweight,,,,,,
,John Brown,2517737/john-brown,,,,,,,,
,Judd Brown,3947013/judd-brown,,,,,,,,
,Justin Brown,4293719/justin-brown,,,,,,,,
,Kathlina Brown,3104471/kathlina-brown,,,,,,,,
,Martin Brown,4068064/martin-brown,USA,Lightweight,,1984-08-17,,,155.0,70.0
Orthodox,Matt Brown,2335666/matt-brown,USA,Welterweight,Immortal Martial Arts,1981-01-10,The Immortal,75.0,170.0,72.0
,Matt Brown,3153367/matt-brown,USA,Flyweight,,1982-01-05,,,,
,Matt Brown,4893022/matt-brown,USA,Featherweight,,1991-04-05,The Bay Bay Kid,,145.0,69.0
,Michael Brown,3041427/michael-brown,,,,,,,,
Orthodox,Mike Brown,2335886/mike-brown,USA,Featherweight,American Top Team,1975-09-08,,,,
Orthodox,Mike Brown,2500733/mike-brown,,Featherweight,,,,70.0,,
,Nathan Brown,2977085/nathan-brown,,Lightweight,,,,,,
Orthodox,Randy Brown,3960071/randy-brown,Jamaica,Welterweight,Kings MMA,1990-07-08,Rudeboy,78.0,170.0,75.0
,Rodney Brown,2502051/rodney-brown,,Lightweight,,,,,,
,Sam Brown,2554750/sam-brown,,,,,,,,
,Scott Brown,4079305/scott-brown,,,,,,,,
,Shawn Brown,4690547/shawn-brown,,Lightweight,Combat Club,1995-12-09,,74.0,155.0,70.0
,Sonny Brown,3104550/sonny-brown,,,,,,,,
,Steve Brown,3090698/steve-brown,USA,,,1980-12-10,,,,
,Terrell Brown,2536069/terrell-brown,,Catch Weight,,,,,,
Switch,TJ Brown,4063667/tj-brown,USA,Featherweight,Westside Fight Team,1990-05-22,Downtown,72.0,145.0,69.0
Orthodox,Todd Brown,2505263/todd-brown,USA,Catchweight,,,Bulldog,,,
,Tye Brown,2977079/tye-brown,,Lightweight,,,,,,
,Vamana Brown,3090546/vamana-brown,,Featherweight,,,,,,
,Whitney Brown,2555768/whitney-brown,,Bantamweight,,,,,,
,Kevin Brown Jr.,4567027/kevin-brown-jr,USA,,,1986-08-15,,,170.0,74.0
,Lucas Browne,2558486/lucas-browne,,Heavyweight,,,,,,
,Nick Browne,4238100/nick-browne,USA,Lightweight,All American MMA,1990-03-30,,72.0,155.0,72.0
Orthodox,Travis Browne,2504648/travis-browne,USA,Heavyweight,Glendale Fighting Club,1982-07-17,Hapa,79.0,,
,Priscilla Brownfield,3161701/priscilla-brownfield,,,,,,,,
,Corey Browning,4388787/corey-browning,USA,,,,,,155.0,71.0
Orthodox,Junie Browning,2335680/junie-browning,USA,Lightweight,,1985-05-12,Lunatik,,,
,Nick Browning,4213317/nick-browning,,,,,,,,
,Robert Browning,4252352/robert-browning,USA,,,,,,,
,Jacob Browy,2558426/jacob-browy,,Heavyweight,,,,,,
,Anastasia Bruce,4423476/anastasia-bruce,,,,1995-06-04,,,,
,Dave Bruce,4417545/dave-bruce,,,,,,,,
Southpaw,Jules Bruchez,2555594/jules-bruchez,,Light Heavyweight,,,,,,
Orthodox,Justin Bruckmann,2473334/justin-bruckmann,,Welterweight,,,Loaf,,,
,Christian Bruckner,3103796/christian-bruckner,,,,,,,,
,Denise Bruckner,4292601/denise-bruckner,,,,,,,,
,Darin Brudigan,2335713/darin-brudigan,,Light Heavyweight,,,,,,
,Josh Brueckner,4565647/josh-brueckner,USA,,,1995-03-11,,,,
,Ryan Brueggeman,4415496/ryan-brueggeman,,,,,,,,
,Jim Bruketta,2500192/jim-bruketta,,Bantamweight,,,,,,
,James Brum,2969835/james-brum,England,,,1987-04-17,Job Done,,,
Orthodox,Cody Brundage,4684474/cody-brundage,USA,Light Heavyweight,FactoryX Muay Thai,1994-05-16,,72.0,185.0,72.0
,Deon Bruning,4879769/deon-bruning,South Africa,,,,,,,
,Alex Brunnen,3155864/alex-brunnen,,,,,,,,
,Tihamer Brunner,2553758/tihamer-brunner,,,,,,,,
,Fernando Bruno,3901006/fernando-bruno,Brazil,Featherweight,,1982-02-24,Acougueiro,70.0,,
,Marcos Bruno,4612663/marcos-bruno,,,,,,,,
,Mike Bruno,3004242/mike-bruno,USA,Lightweight,,1986-05-26,,,,
,Roberto Bruno,3031744/roberto-bruno,,,,,,,,
Orthodox,Steve Bruno,2335765/steve-bruno,USA,,American Top Team,,Hollywood,,,
Southpaw,Derek Brunson,2560056/derek-brunson,USA,Middleweight,Sanford MMA,1984-01-04,,77.0,186.0,73.0
,Steven Bruscoli,3808687/steven-bruscoli,,,,,,,,
,Georgy Brusilov,4202778/georgy-brusilov,Ukraine,,,,,,,
,Julio Brutus,2506256/julio-brutus,,Light Heavyweight,,,,,,
,James Bryan,3127944/james-bryan,,,,,,,,
,A.J. Bryant,4607669/aj-bryant,USA,,,1987-09-22,,,145.0,68.0
,Darren Bryant,2500650/darren-bryant,,Lightweight,,,,,,
Orthodox,Dennis Bryant,4354424/dennis-bryant,USA,Light Heavyweight,,,,,205.0,72.0
,Jacky Bryant,3002469/jacky-bryant,,Flyweight,,,,,,
,Jason Bryant,2354099/jason-bryant,,Featherweight,,,,,,
,Joe Bryant,2553260/joe-bryant,,Welterweight,,,,,,
,John Bryant,2555638/john-bryant,,,,,,,,
,Joseph Bryant,3101073/joseph-bryant,,,,,,,,
Orthodox,Josh Bryant,2504645/josh-bryant,,,,,The Beast,,,
,Mike Bryant,3903476/mike-bryant,,,,,,,,
,Nathan Bryant,3988985/nathan-bryant,,,,,,,,
,Jason Bryar,2556685/jason-bryar,,Lightweight,,,,,,
,Robert Bryczek,4341572/robert-bryczek,Poland,,,1990-07-04,,,170.0,72.0
,Rebecca Bryggman,4870311/rebecca-bryggman,USA,,,,,,,
,Kamaka Bryson,2951270/kamaka-bryson,,,,,,,,
,Ronnie Bryson,3001936/ronnie-bryson,,,,,,,,
,Radji Bryson-Barrett,3022248/radji-bryson-barrett,,,,,,,,
Orthodox,Lukasz Brzeski,4710386/lukasz-brzeski,Poland,Heavyweight,Kotwica MMA Team,1992-05-17,The Bull,78.0,234.0,76.0
,Issey Francis Buangala,4217614/issey-francis-buangala,Switzerland,,,,Simba,,,
,John Bublich,3114968/john-bublich,,,,,,,,
,Denis Bublov,2558174/denis-bublov,,Light Heavyweight,,,,,,
,Annalisa Bucci,3153266/annalisa-bucci,Italy,Women's Featherweight,Athletic Thai Gym,1983-01-29,No Fear,,,
,Alexandra Buch,3023858/alexandra-buch,,,,,,,,
,Billy Buch,3165859/billy-buch,,,,,,,,
,Henry Buchanan,3031730/henry-buchanan,,,,,,,,
,Jerome Buchanan,3153152/jerome-buchanan,,,,,,,,
,Mark Buchanan,3023960/mark-buchanan,,,,,,,,
,Mickael Bucher,4567208/mickael-bucher,,,,,,,,
Orthodox,Justin Buchholz,2335770/justin-buchholz,USA,,Team Alpha Male,1983-08-22,,73.0,155.0,71.0
,Ivan Buchinger,2970370/ivan-buchinger,Slovakia,Featherweight,Team MMA Spirit,1986-02-14,Buki,,145.0,69.0
,Michael Buchkovich,2500153/michael-buchkovich,,Heavyweight,,,Boom Boom,,,
,Eugen Buchmueller,3971036/eugen-buchmueller,,,,,,,,
,Zak Bucia,2951156/zak-bucia,USA,,,,,,170.0,70.0
,Saulius Bucius,3146327/saulius-bucius,,,,,,,,
,Al Buck,2354262/al-buck,,,,,,,,
,Cherie Buck,3331919/cherie-buck,,,,,,,,
Orthodox,Courtney Buck,2511224/courtney-buck,,,,,,,,
,Eric Buck,4216346/eric-buck,USA,,,,,,,
,Jason Buck,3027562/jason-buck,,Middleweight,,,,,,
,Jay Buck,2501803/jay-buck,,,,,,,,
,Johnny Buck,3090120/johnny-buck,,Welterweight,,,,,,
,Josh Buck,2955848/josh-buck,,,,,,,,
,Andrew Buckland,2502600/andrew-buckland,,,,,,,,
,Jesse-Bjorn Buckler,3090699/jesse-bjorn-buckler,,,,,,,,
Southpaw,Joaquin Buckley,4024714/joaquin-buckley,USA,Middleweight,Finney's HIT Squad,1994-04-27,New Mansa,76.0,185.0,70.0
,Patrick Buckley,4077554/patrick-buckley,,,,,,,,
,Amanda Buckner,2976056/amanda-buckner,,,,,,,,
,Liam Bucko,4277825/liam-bucko,England,,,,,,,
,Jacek Buczko,2500766/jacek-buczko,,,,,,,,
,Aldar Budanaev,4575548/aldar-budanaev,Russia,,,1990-01-08,,,135.0,68.0
Orthodox,Martin Buday,4406574/martin-buday,Slovakia,Heavyweight,Spartakus Fight Gym,1991-11-11,Badys,77.0,264.0,75.0
,Julia Budd,2537488/julia-budd,Canada,Women's Featherweight,Gibson Kickboxing & Pankration,1983-07-04,The Jewel,70.0,155.0,68.0
,Nick Budig,3026019/nick-budig,USA,,,,,,,
Orthodox,Mike Budnik,2499535/mike-budnik,USA,,,1974-08-08,,68.0,,
,Artem Budur,4883807/artem-budur,Ukraine,,,,,,,
,Jake Buehler,4329447/jake-buehler,USA,,,,,,,
,Frank Buenafuente,4245469/frank-buenafuente,USA,Featherweight,,1987-12-09,The Praying Mantis,,145.0,69.0
,Alex Bueno,3116272/alex-bueno,,,,,,,,
Orthodox,Francisco Bueno,2952792/francisco-bueno,,Open Weight,,,,,,
,Gabriela Bueno,4030636/gabriela-bueno,,,,,,,,
,Paulo Bueno,3948470/paulo-bueno,,,,,,,,
,Rafael Bueno,4320906/rafael-bueno,Brazil,,,,,,,
,Silverio Bueno,2559803/silverio-bueno,,,,,,,,
,Valentin Bueno,3002580/valentin-bueno,,,,,,,,
,Duilio Aparecido Bueno dos Santos,4868780/duilio-aparecido-bueno-dos-santos,Brazil,,,,,,155.0,72.0
Orthodox,Mayra Bueno Silva,4371001/mayra-bueno-silva,Brazil,Women's Flyweight,Chute Boxe,1991-08-22,Sheetara,66.5,125.0,66.0
,Javier Buentello,2501999/javier-buentello,,Heavyweight,,,,,,
Orthodox,Paul Buentello,2431330/paul-buentello,USA,,Grudge Training Center,1974-01-16,The Headhunter,77.0,,
,Travis Buesking,4293718/travis-buesking,,,,,,,,
,Jasper Bufkin,3895066/jasper-bufkin,,,,,,,,
,Lukasz Bugara,2511252/lukasz-bugara,,,,,,,,
,Vasiliy Buglanov,4294873/vasiliy-buglanov,,,,,,,,
,Paul Buie,4012435/paul-buie,,,,,,,,
,Sergey Buinachev,4229731/sergey-buinachev,Russia,,,,,,,
,David Buirski,4217384/david-buirski,South Africa,,,,,,,
,Gareth Buirski,4566647/gareth-buirski,South Africa,,,,,,,
,Matthew Buirski,4237297/matthew-buirski,,,,,,,,
,Pieter Buist,4775143/pieter-buist,Netherlands,Welterweight,,1988-03-01,The Archangel,,170.0,74.0
,Robert Buiu,3111303/robert-buiu,,Lightweight,,,,,,
,Wellington Bujica,3895849/wellington-bujica,,,,,,,,
Switch,Modestas Bukauskas,4279621/modestas-bukauskas,Lithuania,Middleweight,Gintas Combat,1994-02-10,The Baltic Gladiator,78.0,205.0,75.0
,Ilias Bulaid,4886803/ilias-bulaid,Morocco,Featherweight,SBG Ireland,1995-05-01,The Blade,70.5,145.0,68.0
,Bogdan Bulakh,4227327/bogdan-bulakh,,,,,,,,
,Mark Bulakhtin,3961809/mark-bulakhtin,,,,,,,,
,Davit Bulalauri,4690507/davit-bulalauri,Georgia,,,,,,,
,Geli Bulaong,4895567/geli-bulaong,Philippines,,,,,,,
,Dmitriy Bulgak,3107538/dmitriy-bulgak,,,,,,,,
,John Bulger,2500677/john-bulger,,Welterweight,,,,,,
,Nikita Buliga,4873813/nikita-buliga,Ukraine,,,,,,205.0,73.0
,Wojciech Bulinski,3900788/wojciech-bulinski,,,,,,,,
,Nadyr Bulkadarov,4682629/nadyr-bulkadarov,,,,,,,,
,Dan Bulkley,3121804/dan-bulkley,,Flyweight,,,,,,
,Taylor Bull,3087274/taylor-bull,Canada,,,,,,,
,Wesley Bull,3254948/wesley-bull,Brazil,,,,,,,
,John Bullard,4326210/john-bullard,,,,,,,,
,Luciano Bulldog,3047329/luciano-bulldog,,,,,,,,
,Keith Bullock,4237932/keith-bullock,,,,,,,,
,Cary Bullos,3892474/cary-bullos,,,,,,,,
,Nicolaj Bulow,4590105/nicolaj-bulow,,,,,,,,
Orthodox,Lee Kwan Bum,2951158/lee-kwan-bum,,Open Weight,,,,,,
,Josh Bumgarner,2951159/josh-bumgarner,,,,,,,,
,Robert Buminaang,3117697/robert-buminaang,,Featherweight,,,,,,
,Justin Bumphus,2557909/justin-bumphus,,Welterweight,,,,,,
,Chantha Bun,4876293/chantha-bun,Canada,Featherweight,,,,,,
,James Bunch,3026153/james-bunch,,,,,,,,
,Joe Bunch,2354297/joe-bunch,USA,Middleweight,,1984-01-09,,,,
,Shawn Bunch,3152121/shawn-bunch,USA,Bantamweight,AKA (American Kickboxing Academy),1983-03-19,Bunch the Great,,135.0,65.0
,Cody Bunderson,4205102/cody-bunderson,,,,,,,,
,Makunga Bunduku,4077695/makunga-bunduku,England,,,,,,,
,Isidor Bunea,3957838/isidor-bunea,,,,,,,,
,Izidor Bunea,3994035/izidor-bunea,,,,,,,,
,Rob Bunford,2967082/rob-bunford,,Bantamweight,,,,,,
,Chris Bungard,4289880/chris-bungard,Scotland,Lightweight,Scottish Hit Squad,1988-12-19,,72.5,155.0,71.0
,Haroldo Bunn,3020438/haroldo-bunn,Brazil,Bantamweight,,,,,,
,Anatpong Bunrad,3593433/anatpong-bunrad,Thailand,,Phuket Top Team,1986-06-14,Mak,,,
,Sim Bunsrun,4815828/sim-bunsrun,Cambodia,,,,,,,
,Berrie Bunthof,4240982/berrie-bunthof,Netherlands,,,,,,,
,Nikita Buravchik,4819861/nikita-buravchik,Ukraine,,,1994-12-11,,,145.0,68.0
Orthodox,Danny Burawa,2617861/danny-burawa,USA,,,1988-12-30,,,,
,Rodney Burba,3001921/rodney-burba,,,,,,,,
,Jakov Burbolenko,3024539/jakov-burbolenko,,,,,,,,
,Gareth Burbridge,3077595/gareth-burbridge,,,,,,,,
,Dee Burchfield,3073378/dee-burchfield,,,,,,,,
,Soltan Burdas,3076919/soltan-burdas,,,,,,,,
,Jonathan Burdine,3955785/jonathan-burdine,USA,,,1979-02-21,,,,
,Andrey Burdiniuk,4421731/andrey-burdiniuk,Ukraine,,,,,,,
Orthodox,Wuliji Buren,3162792/wuliji-buren,China,Bantamweight,,1990-03-01,Beast Master,69.0,135.0,69.0
,Mihail Bureshkin,4063092/mihail-bureshkin,Belarus,,,,,,,
,Brian Burgan,3143555/brian-burgan,,,,,,,,
,Robert Burgess,4704427/robert-burgess,USA,,,1984-02-24,,,,
,Michael Burgett,3138845/michael-burgett,,,,,,,,
,Tommy Burghardt,4424217/tommy-burghardt,USA,,,,,,,
,Dimitry Burgo,2964912/dimitry-burgo,Brazil,,,,,,,
,Gilbert Burgos,3955780/gilbert-burgos,,,,,,,,
,Nicholas Burgos,3902222/nicholas-burgos,USA,Flyweight,Elite Performance,,,,,
Orthodox,Shane Burgos,4076470/shane-burgos,USA,Featherweight,Team Tiger Schulman,1991-03-19,Hurricane,75.5,146.0,71.0
,Zachary Burhans,4795199/zachary-burhans,USA,,,,,,145.0,68.0
,Alateng Burigede,4328243/alateng-burigede,China,,,1989-10-12,,,,
,Chance Burke,3113295/chance-burke,,,,,,,,
,Jerrid Burke,3082412/jerrid-burke,,,,,,,,
,Jody Burke,2512059/jody-burke,,,,,,,,
,Will Burke,2555117/will-burke,,Lightweight,,,,,,
,Daryle Burkey,3601740/daryle-burkey,,,,,,,,
Orthodox,Joshua Burkman,2354104/joshua-burkman,USA,Welterweight,The Pit Elevated Fight Team,1980-04-10,The People's Warrior,72.0,170.0,70.0
,Martin Burkot,4893550/martin-burkot,,,,,,,,
,Steve Burks,4044407/steve-burks,,,,,,,,
,Tommy Burks,4573908/tommy-burks,,,,,,,,
,Larue Burley,3058471/larue-burley,,Lightweight,,,,,,
,LaRue Burley,3146832/larue-burley,USA,Lightweight,Power MMA Team,1984-04-25,The Cannibal,,155.0,70.0
Switch,Justin Burlinson,4848687/justin-burlinson,England,Welterweight,,1997-05-19,,74.0,170.0,73.0
,Robert Burneika,4382295/robert-burneika,USA,,,1978-07-08,,,,
Orthodox,Mads Burnell,4251918/mads-burnell,Denmark,Featherweight,Arte Suave Copenhagen,1994-03-06,,69.0,145.0,68.0
,Trevor Burnell,2555783/trevor-burnell,,Featherweight,,,,,,
,Hans Burnett,3032217/hans-burnett,,,,,,,,
,Jeremy Burnett,2556783/jeremy-burnett,,Bantamweight,,,,,,
Orthodox,Mikey Burnett,2558135/mikey-burnett,,Lightweight,Lion's Den,,,,,
,Travis Burnett,3077866/travis-burnett,,,,,,,,
,Chris Burns,3947003/chris-burns,,,,,,,,
,Clay Burns,4058838/clay-burns,,,,,,,,
,Dominic Burns,4878375/dominic-burns,USA,,,,,,,
Orthodox,Gilbert Burns,3090197/gilbert-burns,Brazil,Welterweight,Sanford MMA,1986-07-20,Durinho,71.0,170.0,70.0
,Henri Burns,4573310/henri-burns,,,,,,,,
Orthodox,Herbert Burns,3089633/herbert-burns,Brazil,Featherweight,Sanford MMA,1988-02-02,The Blaze,73.0,149.0,69.0
,Josh Burns,2557304/josh-burns,USA,,,,,,,
Orthodox,Kevin Burns,2431283/kevin-burns,,Welterweight,,,The Fire,74.0,,
,Micky Burns,3100915/micky-burns,,,,,,,,
,Peyton Burns,4683655/peyton-burns,USA,Lightweight,,,,,,
,Russell Burns,4291015/russell-burns,,,,,,,,
,Scott Burns,2565150/scott-burns,,Lightweight,,,,,,
,Derrick Burnsed,2504255/derrick-burnsed,,Lightweight,,,,,,
,Christian Buron,4022253/christian-buron,USA,Bantamweight,,,,,,
,Zachary Buros-Nash,4878560/zachary-buros-nash,USA,,,,,,145.0,68.0
Orthodox,Nah-Shon Burrell,2515909/nah-shon-burrell,USA,Welterweight,Fight Firm,1990-02-05,The Rock n Rolla,71.0,185.0,73.0
,Brad Burrick,2512974/brad-burrick,,Middleweight,,,,,,
,Jake Burriola,4065398/jake-burriola,USA,,,,,,,
,Tyson Burris,2354139/tyson-burris,,Lightweight,,,,,,
,David Burrow,3154262/david-burrow,USA,Welterweight,Without Limits MMA,1991-10-11,The Duke,,,
,James Burrows,4683998/james-burrows,Wales,Welterweight,,,,,,
,Carl Burton,4611304/carl-burton,,,,,,,,
,Jack Burton,2502132/jack-burton,,Light Heavyweight,,,,,,
,Lonnie Burton,4376097/lonnie-burton,,,,,,,,
,Robert Burton,3123990/robert-burton,,,,,,,,
,Ryan Burton,3164566/ryan-burton,,,,,,,,
,Gerald Burton-Batty,2967032/gerald-burton-batty,,,,,,,,
,Marko Burusic,3988875/marko-burusic,Croatia,,,1993-01-29,,,,
,Ryan Burwick,3134920/ryan-burwick,,,,,,,,
,Dan Burzotta,2967040/dan-burzotta,,,,,,,,
Orthodox,Martin Buschkamp,4046700/martin-buschkamp,Brazil,,Planet Eater,1991-01-06,Barracuda,,,
,Nick Buschman,2556926/nick-buschman,,,,,,,,
,Walter Buse,2955850/walter-buse,,,,,,,,
,Vadim Buseev,4294882/vadim-buseev,Russia,Bantamweight,,1986-04-22,,,,
,Aaron Bush,4869235/aaron-bush,USA,Heavyweight,,1992-09-23,,,,
Orthodox,Bubba Bush,2966920/bubba-bush,USA,Middleweight,Brazos Valley MMA,1985-07-24,The Fighting Texas Aggie,73.5,,
Orthodox,Dakota Bush,4372290/dakota-bush,USA,Lightweight,Glory MMA & Fitness,1994-06-09,,73.0,155.0,70.0
,Emma Bush,3042210/emma-bush,,,,,,,,
,Galen Bush,2969475/galen-bush,,,,,,,,
,George Bush,2557919/george-bush,,Light Heavyweight,,,,,,
,Travis Bush,2560058/travis-bush,,,,,,,,
,Branko Busick,2475325/branko-busick,USA,Middleweight,,1990-07-15,,74.0,185.0,73.0
,Emyr Bussade,2975428/emyr-bussade,USA,Light Heavyweight,,1980-05-25,,,,
,Jarid Bussemakers,3154217/jarid-bussemakers,Canada,,,1985-07-11,,,,
Orthodox,Murilo Bustamante,2354059/murilo-bustamante,Brazil,Middleweight,Brazilian Top Team,1966-07-30,,,,
,Nick Bustamante,3250046/nick-bustamante,USA,Lightweight,Dethrone Base Camp,,,,,
,Eduardo Bustillos,4231398/eduardo-bustillos,Mexico,,,1987-06-02,,,155.0,68.0
,Marcelo Bustos,4371919/marcelo-bustos,Argentina,,,1990-09-12,,,145.0,68.0
,Miguel Bustos,4689799/miguel-bustos,,,,,,,,
,Billy Butch,3032326/billy-butch,,,,,,,,
,Jason Butcher,3046472/jason-butcher,USA,Light Heavyweight,Team Jorge Gurgel,1984-10-23,,74.0,205.0,75.0
,Alexander Butenko,2986681/alexander-butenko,Ukraine,Welterweight,FightSpirit Team,1987-01-18,,,170.0,71.0
,Blake Butera,2617849/blake-butera,USA,,,,,,,
,Cleiton Butiski,4426294/cleiton-butiski,Brazil,,,1994-02-21,,,,
,Goldman Butler,2951160/goldman-butler,,Heavyweight,,,,,,
,Ian Butler,4200453/ian-butler,USA,Welterweight,,1989-10-09,Silverback,,170.0,70.0
,Jacob Butler,3147492/jacob-butler,,,,,,,,
,Jake Butler,3020315/jake-butler,USA,,Evolve MMA,,,,205.0,74.0
,Jay Butler,4008548/jay-butler,England,,,,,,,
,Jesse Butler,4397795/jesse-butler,,,,,,,,
,Justin Butler,3153996/justin-butler,,,,,,,,
